優惠店家名稱,餐廳地址,好康條件,好康類型,好康內容
泰飽,臺北市大安區忠孝東路三段300號B2,自備餐盒,折價,自備餐盒折10元(限外帶)
金葉名氣餅,臺北市大安區忠孝東路三段300號B2,自備餐盒,折價,外帶自備餐盒折價5元
塔里木鐵板燒,臺北市中山區林森北路247號B1,自備餐盒,折價,自備餐盒享外帶9.5折
花蓮扁食,臺北市中山區林森北路247號B1,自備餐盒,其他,自備餐盒可享95折優惠
琦川有限公司,臺北市中山區林森北路247號B1,自備餐盒,其他,自備餐盒可享95折優惠
郭老師養生料理,臺北市中山區林森北路247號B1,自備餐盒、自備筷子或湯匙或刀叉,贈品,紫米粥一份(甜點)
一兆堂-中研院店,臺北市南港區研究院路二段128號,自備餐盒,折價,凡自帶餐盒外帶餐點者折價5元
關北紅豆餅(中研店),臺北市南港區研究院路二段128號(學術活動中心),自備餐盒,折價,購買盒裝且自備容器享原價9折
Trine&Zen 中央研究院店,臺北市南港區研究院路二段128號(學術活動中心),自備餐盒,折價,外帶自備杯，飲品折10元
聖加海南G飯-微風北車,臺北市中正區北平西路3號台北車站2F,自備筷子或湯匙或刀叉,折價,全部餐點折10元(特價除外)
328加東叻沙,臺北市中正區北平西路3號,自備餐盒,折價,折價5元，單筆消費
滿哥甜品坊,臺北市信義區松高路11號B2,自備餐盒,折價,外帶:自備容器折價3元(份)
The Greenery 蔬坊,臺北市信義區松高路11號,自備餐盒,折價,餐盒折5元，杯子折2元
金色三麥,臺北市信義區松高路11號B1,自備餐盒,贈送餐飲,帶金色三麥【一公升啤酒空瓶+限定保冰袋】來門市回收，即贈350cc杯裝啤酒乙杯
哈根達斯,臺北市大安區忠孝東路三段300號B2,自備餐盒,折價,自備杯子裝咖啡折2元
鰻將劍持屋,臺北市大安區忠孝東路三段300號B2,自備餐盒,贈送餐飲,凡使用環保餐盒之顧客，優惠贈送玉子燒1顆(限外帶)
興葉企業有限公司,臺北市大安區忠孝東路三段300號B2,自備餐盒,折價,自備餐具容器，現場點餐單筆等值超過NTD130元，即現折5元
HH冰室,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保杯折5元
MR.雲,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折5元
OCEAN BOX,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐具/飲料杯，折10元
一禾堂,臺北市信義區松壽路11號B2,自備餐盒,折價,使用一禾堂環保袋買百折抵10元
小紅點,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折5元
小確幸,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保杯折5元
小樽手作珈琲,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保杯折5元
水吻,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折3元
自然點,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保杯折3元
星野肉肉鍋,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折10元
春紀本家,臺北市信義區松壽路11號B2,自備餐盒,折價,自帶環保飲料杯，折5元
泰飽,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折10元
麻膳堂,臺北市信義區松壽路11號B2,自備餐盒,折價,帶自備餐盒折5元
新高軒,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折10元
?火,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折5元
漫步舒芙蕾,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保杯折5元
漾紅花鐵板燒,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折5元
蔬河,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折5元
翰林茶館,臺北市信義區松壽路11號B2,自備餐盒,折價,自備環保餐盒折5元
永旭府城,臺北市大安區敦化南路二段203號B2,自備筷子或湯匙或刀叉,贈送餐飲,自備餐具贈冷飲一杯
三彥實業有限公司(Richard Blanc),臺北市大安區敦化南路二段203號B2,自備餐盒、自備筷子或湯匙或刀叉,折價,折價5元
朱記餡餅粥,臺北市大安區敦化南路二段203號B2,自備餐盒,折價,自備餐盒95折優惠，不得與其他優惠同時並行
雪嶽山,臺北市大安區敦化南路二段203號B2,自備餐盒,折價,凡來店外帶自備環保餐盒，即享有5元折價
H.T. Burger,臺北市大安區敦化南路二段203號B2,自備筷子或湯匙或刀叉,折價,折價10元
Trine&Zen 松高,臺北市信義區松高路16號B2,自備餐盒,折價,外帶自帶杯享折扣10元
小器生活創意股份有限公司,臺北市信義區松智路17號3樓,自備餐盒,折價,自備餐盒外帶8折優惠
心齋,臺北市信義區松智路17號2樓,自備餐盒,其他,送開胃菜小菜一碟(價值80元)
兩班家-新光三越台北A9店,臺北市信義區松壽路9號6樓,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
兩班家-新光三越台北天母店,臺北市士林區天母東路68號7樓,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
韓鶴亭-新光三越台北A8店,臺北市信義區松高路12號B2,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
韓鶴亭-新光三越台北站前店,臺北市中正區忠孝西路一段66號B1,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
雪嶽山-新光三越台北南西店,臺北市大同區南京西路15號B1,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
雪嶽山新光三越台北天母店,臺北市士林區忠誠路二段200號3樓(B棟),自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
雪嶽山台北101店,臺北市信義區市府路45號B1,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
雪嶽山中國信託金融園區店,臺北市南港區經貿二路186號3樓(C棟),自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
別味韓定食美麗新廣場店,臺北市中山區北安路780號4樓,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
豆腐村美麗華百樂園店,臺北市中山區敬業三路20號3樓,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備環保餐盒及環保餐具，即享有5元折價
